product_name, price, link, color
kurta, 3490, https://pk.khaadi.com/new-in/etp20217-etp20217-pk.html, BLUE, WHITE
kurta, 2500, https://pk.khaadi.com/new-in/etp20213-etp20213-pk.html, BLUE, WHITE
kurta dupatta, 5990, https://pk.khaadi.com/new-in/kdp20203-kdp20203-pk.html, YELLOW, OFF-WHITE
kurta, 4990, https://pk.khaadi.com/new-in/ete20223-ete20223-pk.html, PINK
kurta pants dupatta, 7490, https://pk.khaadi.com/new-in/fsp20202-fsp20202-pk.html, BLUE
kurta, 3500, https://pk.khaadi.com/new-in/etpe20203-etpe20203-pk.html, BLUE, BEIGE
pants, 1990, https://pk.khaadi.com/new-in/wbe20219-wbe20219-pk.html, BLACK, WHITE
pants, 2490, https://pk.khaadi.com/new-in/wbe20221-wbe20221-pk.html, BLACK, WHITE, BEIGE, OFF-WHITE
kurta pants dupatta, 8990, https://pk.khaadi.com/fspe20201-fspe20201-pk.html, PINK, GREEN
pants, 1990, https://pk.khaadi.com/wbe20218-wbe20218-pk.html, BLACK, BEIGE
